net,length_um
_05321_,193.68
_11947_,193.56
_14438_,193.375
_11044_,193.22
_08673_,193.18
_09642_,193.12
_10597_,193.08
_00620_,193.03
_08904_,192.66
_11372_,192.56
genblk1.pcpi_mul.rs1\[2\],192.56
_08506_,192.36
_10113_,192.24
_10957_,192.09
_14210_,191.96
_10585_,191.935
_05710_,191.835
_09130_,191.66
_10319_,191.58
_06286_,191.3
_11141_,191.26
_06130_,191.22
_13891_,191.04
genblk1.pcpi_mul.rs1\[1\],191.035
net59,191.025
_10171_,190.84
_14038_,190.82
_05818_,190.78
_01717_,190.755
net80,190.635
_04704_,190.58
_09087_,190.405
_08099_,190.24
_09117_,190.24
net199,190.18
_10223_,190.04
_08552_,190
_10783_,189.94
_09561_,189.92
_10112_,189.86
reg_next_pc\[31\],189.84
_08326_,189.64
_10045_,189.46
_13620_,189.37
_12151_,189.3
_06229_,189.24
_11728_,189.22
net91,188.9
_00767_,188.835
cpuregs\[19\]\[7\],188.7
_14392_,188.63
clknet_5_10__leaf_clk,188.58
net55,188.505
net266,188.34
_10582_,188.14
_05041_,187.98
_00624_,187.745
_07803_,187.725
_10792_,187.465
_05165_,187.3
_05060_,187.22
_06324_,187.18
_13901_,187.03
_05723_,187
_09213_,186.98
_06113_,186.87
_08183_,186.76
_08672_,186.7
_02921_,186.57
_06946_,186.52
net226,186.48
_05857_,186.44
clknet_5_11__leaf_clk,186.4
_10589_,186.28
_12831_,186.23
_14099_,186.14
alu_out\[23\],186.06
mem_rdata_q\[24\],186.06
_11017_,185.88
_11038_,185.88
decoded_imm_uj\[5\],185.685
_11235_,185.68
_08369_,185.67
net284,185.585
_10094_,185.31
net186,185.11
alu_out_q\[16\],185.06
net68,185
_08945_,184.99
_05478_,184.6
_12021_,184.6
_08607_,184.38
_07845_,184.3
_11712_,184.28
_03348_,184.12
_08246_,184.12
_03189_,184
alu_out_q\[28\],183.8
_10119_,183.765
net127,183.54
_05206_,183.48
_09068_,183.44
_11707_,183.38
_08143_,183.36
_06394_,183.3
_03017_,183.24
_05102_,183.2
_13860_,183.18
_07833_,183.04
_12086_,182.88
_08839_,182.68
_14457_,182.68
alu_out\[18\],182.625
_07389_,182.62
_08721_,182.59
_05350_,182.52
_09719_,182.48
_11402_,182.46
_10960_,182.44
_10649_,182.4
_02610_,182.22
alu_out_q\[24\],182.195
_11562_,182.17
_11711_,182.08
_08255_,181.8
_10666_,181.45
irq_pending\[23\],181.36
_08677_,181.26
_11775_,181.18
_13868_,181.14
_07796_,181.09
_08543_,180.94
_14570_,180.88
_08184_,180.77
net166,180.7
_12238_,180.51
_03289_,180.44
_11144_,180.42
_01679_,180.35
alu_out\[29\],180.285
_05154_,180.2
_13667_,180.15
_10978_,179.86
_12467_,179.76
_10274_,179.74
net218,179.68
_05635_,179.66
_05431_,179.64
_08629_,179.64
instr_srai,179.54
_10315_,179.1
_06422_,179.07
_01734_,178.88
_03042_,178.88
_10875_,178.86
_03065_,178.84
_00621_,178.79
_11068_,178.695
net256,178.64
_10939_,178.62
_00034_,178.615
_08946_,178.56
_05707_,178.34
_11053_,178.32
instr_sra,178.27
_12337_,178.26
_05679_,178.115
_01757_,177.94
